Questions,Answers,extended_answer
Where did the opera in which Iva Pacetti starred as Elena first premier?,"La Scala, Milan","The opera in which Iva Pacetti starred as Elena first premiered at La Scala, Milan."
What was the nationality and profession of the person responsible for the concept of a dimensionless number in physics and engineering?,French mathematician and physicist,The person responsible for the concept of a dimensionless number in physics and engineering was a French mathematician and physicist.
Between Pinanga and Alopecurus which genus is more common in temperate regions?,Alopecurus,Alopecurus is more common in temperate regions compared to Pinanga.
"Which author was a dentist, Zane Grey or Bhabananda Deka?",Pearl Zane Grey,"Pearl Zane Grey, the author, was not a dentist."
"Jaroslav Kvapil the Czech poet was born in the Kingdom of Bohemia, also referred to by what name?",Czech Kingdom,"Jaroslav Kvapil, the Czech poet, was born in the Kingdom of Bohemia, also referred to as the Czech Kingdom."
Were Cinderella and The Emperor's New Groove released by the same picture company?,no,"No, Cinderella and The Emperor's New Groove were not released by the same picture company."
"The rapper whose debut album was titled ""Thug Misses"" has sold over how many records worldwide?",2 million,"The rapper whose debut album was titled ""Thug Misses"" has sold over 2 million records worldwide."
José Baviera starred in the 1962 film by the filmmaker who worked in what countries?,"Spain, Mexico and France","The filmmaker who worked in Spain, Mexico, and France is the one who directed the 1962 film that José Baviera starred in."
Extract starred what American actress who is known for her work on Saturday Night Live from 2005-2012?,Kristen Carroll Wiig,"Kristen Carroll Wiig, an American actress who is known for her work on Saturday Night Live from 2005-2012, can be extracted as the starred actress."
What member from The Clinch Mountain Boys plays at the Huck Finn Jubilee Bluegrass Music Festival?,Ralph Edmund Stanley,"Ralph Edmund Stanley, a member from The Clinch Mountain Boys, plays at the Huck Finn Jubilee Bluegrass Music Festival."
"Which American actor portray Steve Urkel in ""Family Matters""",Jaleel Ahmad White,"Jaleel Ahmad White is the American actor who portrayed Steve Urkel in ""Family Matters""."
The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,middle order batsman,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed middle order batsman.
"What other occupation did the ""Law West of the Pecos"" have?",saloon-keeper,"The ""Law West of the Pecos"" also had the occupation of a saloon-keeper."
For what ogranization does a commentator of Press TV serve as associate director?,Henry Jackson Society,"The commentator of Press TV serves as associate director for the Henry Jackson Society, an organization."
How many episodes were made for the science fiction series with Gus Birney?,ten,Ten episodes were made for the science fiction series with Gus Birney.
In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University,California Polytechnic State University was founded as a vocational high school.
"Which composer, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16 ?",Ludwig van Beethoven,"Ludwig van Beethoven, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16."
Where did the military engagements that Captain Lewis Cunningham Broadus served during take place?,Mexico-United States border region,Captain Lewis Cunningham Broadus served military engagements in the Mexico-United States border region.
When was the advisor of Alpher-Bethe-Gamow paper died?,19-Aug-68,The advisor of the Alpher-Bethe-Gamow paper died on 19-Aug-68.
Vincas Kudirka is the author of both the music and lyrics of a national anthem which has how many words?,fifty-word,"The national anthem, for which Vincas Kudirka is the author of both the music and lyrics, consists of fifty words."
What is the name of this Austrian association football club from Vienna for which Raphael Holzhauser was a player?,Austria Wien,The name of this Austrian association football club from Vienna for which Raphael Holzhauser was a player is Austria Wien.
Ganjam district is located in an indian state located in which part of India ?,eastern India,Ganjam district is located in an Indian state that is situated in the eastern part of India.
What is the start date of this tour that was the third concert tour by an American singer-songwriter and was completed in support of the album Red?,13-Mar-13,"The start date of this tour, which was the third concert tour by an American singer-songwriter and was completed in support of the album Red, was on 13-Mar-13."
What is one element of House dance where the dancer ripples his or her torso back and forth?,the jack,One element of House dance where the dancer ripples his or her torso back and forth is the jack.
"Which 2009 animated film is from Japan, Summer Wars or The Secret of Kells?",Summer Wars,The 2009 animated film from Japan is Summer Wars.
"What is the name of the 1988 film starring Gene Bervoets that was based on the Dutch to English translated novel, ""The Vanishing""?",The Vanishing,"The name of the 1988 film starring Gene Bervoets that was based on the Dutch to English translated novel, ""The Vanishing,"" is also ""The Vanishing."""
When was the first stud book created for the breed of horse that came from Rotrou introducing Arabian horses to Perche?,1883,The first stud book for the breed of horse that came from Rotrou introducing Arabian horses to Perche was created in 1883.
"In what year was the drummer from the album ""Angel of Retribution"" born?",1961,"The drummer from the album ""Angel of Retribution"" was born in 1961."
William Bromley-Davenport held political office under the Prime Minister who was of which party?,Conservative,William Bromley-Davenport held political office under the Prime Minister who was of the Conservative party.
Agnes Body was the founding head of a state secondary school located on what road?,Wragby Road,Agnes Body was the founding head of a state secondary school located on Wragby Road.
Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,Akosua Gyamama Busia,Akosua Gyamama Busia played the role of Nettie Harris in the 1985 film directed by Steven Spielberg.
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","Detroit, Michigan","The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from Detroit, Michigan."
On which television network did Joe Penny play an investigator named Jake Styles?,CBS,Joe Penny played an investigator named Jake Styles on CBS.
How many times did the man who coached the 1986-87 UNLV Runnin' Rebels fail to win 20 games in a season?,twice,The man who coached the 1986-87 UNLV Runnin' Rebels failed to win 20 games in a season twice.
 Curious is a women's fragrance by a singer born in what city and state?,"McComb, Mississippi","Curious is a women's fragrance by a singer who was born in McComb, Mississippi."
Were both Eugene Dynkin and Vladimir Voevodsky mathematicians from Russia?,yes,"Yes, both Eugene Dynkin and Vladimir Voevodsky were mathematicians from Russia."
What mall was known as a twin of the mall located on I-45 on the Southeast side of Houston?,Northwest Mall,The mall that was known as a twin of the mall located on I-45 on the Southeast side of Houston was Northwest Mall.
In what year did Australian-born comedian Peter Helliar write I Love you Too?,2010,"Peter Helliar, the Australian-born comedian, wrote ""I Love You Too"" in the year 2010."
"Which client of Lindka Cierach played Queen Elizabeth II in ""The Queen""?",Helen Mirren,"Helen Mirren played Queen Elizabeth II in ""The Queen,"" which was a client of Lindka Cierach."
Which ocean would the ingredients likely come from for the She-crab soup?,Atlantic Ocean,The ingredients for the She-crab soup would likely come from the Atlantic Ocean.
"Which writer of French descent actually lived in France, Maurice Level or John Dufresne?",Maurice Level,"Maurice Level, the writer of French descent, actually lived in France."
When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,on 20 July 2009,The first bank that is part of an organization serving rural areas of India with basic banking and financial services came into existence on 20 July 2009.
Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in which year ?,1934,Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in 1934.
The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by which acclaimed director?,Martin Scorsese,"The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by acclaimed director Martin Scorsese, known for his iconic films such as Goodfellas and The Departed."
What title did the actor who worked with Sivaji Ganesan in a 1970 drama film other than actor?,politician,The actor who worked with Sivaji Ganesan in a 1970 drama film was not only an actor but also a politician.
"Gaia is a space observatory of the European Space Agency, what is Astrosat?",India's first dedicated multi-wavelength space observatory.,"Astrosat is India's first dedicated multi-wavelength space observatory, similar to Gaia, which is a space observatory of the European Space Agency."
"After coaching the red raiders to several winning seasons, where does Mike Leach currently coach at?",Washington State,"Mike Leach, after coaching the red raiders to several winning seasons, currently coaches at Washington State."
"Which genus has more species, Mahonia or Diplazium?",Diplazium,Diplazium is the genus that has more species compared to Mahonia.
What is the title of the person who is Head of the Department of Biological Sciences at the University of Lincoln,Doctor,The title of the person who is Head of the Department of Biological Sciences at the University of Lincoln is Doctor.
"What type of elevation does Aldgate railway station, Adelaide and Aldgate, South Australia have in common?",Hills,"Aldgate railway station, Adelaide and Aldgate, South Australia have in common the type of elevation, which is hills."
"Brandy was handpicked by a producer that herself had been recognized by the ""Guinness World Records"" for what?",most awarded female act of all-time,"Brandy was handpicked by a producer that herself had been recognized by the ""Guinness World Records"" for being the most awarded female act of all-time."
What profession did Willi Forst and Elmer Clifton share?,actor,Willi Forst and Elmer Clifton shared the profession of actor.
"Which film is older, Monsters, Inc. or Earth?","Monsters, Inc.","Monsters, Inc. is the older film."
 Chun Woo-hee's notable films include a South Korean horror film about  a policeman who investigates a series of mysterious killings and what?,illnesses,Chun Woo-hee's notable films include a South Korean horror film about a policeman who investigates a series of mysterious killings and illnesses.
What city is home to the private research university Jung Seul-ki swam for?,"Seoul, South Korea","Seoul, South Korea is the city where Jung Seul-ki swam for the private research university."
"Who directed the film that had ""The Distance"" in the soundtrack?",Peter Chelsom,"Peter Chelsom directed the film that had ""The Distance"" in the soundtrack."
Jeff Perry the current star of the ABC political drama Scandal is in an upcoming thriller direct by who?,Craig William Macneill,The upcoming thriller is directed by Craig William Macneill.
Does Frank Pepe Pizzeria Napoletana or Donatos Pizza have more locations?,Donatos,Donatos Pizza has more locations than Frank Pepe Pizzeria Napoletana.
"What event in 1920 was established by the director of the play ""The Miracle?""",Salzburg Festival,"The Salzburg Festival, established in 1920, was the event that was established by the director of the play ""The Miracle."""
"""Let's Get Ready to Rhumble"" is a 1994 song by a music duo from where?","Newcastle upon Tyne, England","The song ""Let's Get Ready to Rhumble"" is a 1994 song by a music duo from Newcastle upon Tyne, England."
"Don Swayze was one of five children.  His older brother was trained in dance by their mother, Patsy Swayze, leading to his role in ""Dirty Dancing"".  Who is his older brother?",Patrick Swayze,"Don Swayze was one of five children, and his older brother, Patrick Swayze, was trained in dance by their mother, Patsy Swayze, which ultimately led to his iconic role in ""Dirty Dancing""."
Who is Colin Kaepernick and what is his preferred nickname?,an American football quarterback,Colin Kaepernick is an American football quarterback who is known for his activism both on and off the field.
Timothy J. Sloan was the CEO of Wells Fargo who succeeded the CEO who took the job in what month?,7-Jun,Timothy J. Sloan was the CEO of Wells Fargo who succeeded the CEO who took the job in June.
"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?",Charles L. Clifford,"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", Charles L. Clifford, co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by an author whose name is not mentioned in the question."
In what town is the university which the Bryant Bulldogs represent?,"Smithfield, Rhode Island","The university which the Bryant Bulldogs represent is located in Smithfield, Rhode Island."
"Michelle Lewis has written songs for which ""Lizzie McGuire"" actress? ",Hilary Duff,"Michelle Lewis has written songs for Hilary Duff, who is known for her role as an actress in ""Lizzie McGuire""."
From what nation is the football player who was named Man of the Match at the 2001 Intercontinental Cup?,Ghana,The football player who was named Man of the Match at the 2001 Intercontinental Cup is from Ghana.
"Who is a guitarist, Saffron or Myles Kennedy?",Myles Kennedy,Myles Kennedy is the guitarist.
These three apps that have similar functionality to Google for Education are compatible with what Microsoft file format?,Microsoft Office,These three apps that have similar functionality to Google for Education are compatible with the Microsoft Office file format.
What is the name of the field marshal and strategist who was the mastermind behind the Schlieffen Plan?,Alfred Graf von Schlieffen,"Alfred Graf von Schlieffen, a renowned field marshal and strategist, was the mastermind behind the Schlieffen Plan."
"A British sports, health and leisure business hosted the World Games on what dates?",July 25 to August 4,"The British sports, health and leisure business hosted the World Games from July 25 to August 4."
The Black Star identified closely with this American magazine magnate who was called what?,"the most influential private citizen in the America of his day""","The Black Star identified closely with this American magazine magnate who was called ""the most influential private citizen in the America of his day"" due to his immense power and impact on society."
Which war was HMS Clonmel in where over nine million combatants died?,World War I,"HMS Clonmel was in World War I, a war where over nine million combatants died."
"Shinola LLC, an American luxury lifestyle band is owned and operated by Bedrock Brands a texas investment group launched by this man one of the founders of  Fossil Group",Tom Kartsotis,"Tom Kartsotis, one of the founders of Fossil Group, launched Bedrock Brands, a Texas investment group that owns and operates Shinola LLC, an American luxury lifestyle brand."
What is the current occupation of the footballer replaced by Zdenek Zeman at the beginning of the 2012-13 A. S. Roma season?  ,manager,The current occupation of the footballer replaced by Zdenek Zeman at the beginning of the 2012-13 A. S. Roma season is a manager.
"Nelson Chai is the former president of what financial holding company that was founded in 1908, and is headquartered in New York City?",CIT Group Inc.,"Nelson Chai is the former president of CIT Group Inc., a financial holding company that was founded in 1908 and is headquartered in New York City."
What was the founding year of the county where Weber's Store is located?,1905,The county where Weber's Store is located was founded in 1905.
"In the 1973 NFL season, the Pro Bowl took place at what football stadium that is part of the Truman Sports Complex, along with what other stadium?",Kauffman Stadium,"The Pro Bowl took place at Kauffman Stadium, which is part of the Truman Sports Complex, along with another stadium."
What was the Canadian movie called in Italy that stared a professional American football defensive end of the National Football League along with Michael Ironside?,Anno 2053,"The Canadian movie called ""Anno 2053"" was released in Italy and it starred a professional American football defensive end of the National Football League along with Michael Ironside."
Are Lycoris and Ammi both native to southern Asia?,yes,"Yes, both Lycoris and Ammi are native to southern Asia."
"Which cast member of Pitch Perfect 2 was born March 9, 1986?",Brittany Snow,"Brittany Snow, who was born on March 9, 1986, is a cast member of Pitch Perfect 2."
Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,Phyllis Kohn holds a seat in the House of Representatives which meets in Saint Paul.
"Which mountain is taller, Gasherbrum II or Langtang Ri?",Gasherbrum II,Gasherbrum II is the taller mountain compared to Langtang Ri.
In what field did a Swiss physicist who had a geometrical representation named after him work in?,quantum mechanics,A Swiss physicist who had a geometrical representation named after him worked in the field of quantum mechanics.
What is the nickname of the peninsula that is home to the Calabrian Black Squirrel?,"""lo Stivale"" (the Boot)","The nickname of the peninsula that is home to the Calabrian Black Squirrel is ""lo Stivale"" (the Boot), referring to the shape of Italy on the map."
"Which publication is older, the Stanford Chaparral or Dime Magazine? ",The Stanford Chaparral,The Stanford Chaparral is the older publication.
What was the MGM Grand Garden Arena in which Britney Spears recorded fourth video album originally known as?,Grand Garden Special Events Center,"The MGM Grand Garden Arena, in which Britney Spears recorded her fourth video album, was originally known as the Grand Garden Special Events Center."
Where were the brothers from that manufactured the balloon in which François Laurent d'Arlandes andJean-François Pilâtre de Rozier made the first manned free balloon flight? ,"Annonay, in Ardèche","The brothers who manufactured the balloon in which François Laurent d'Arlandes and Jean-François Pilâtre de Rozier made the first manned free balloon flight were from Annonay, in Ardèche."
"Who has won the most Olympic medals for figure skating, Debi Thomas or Katarina Witt?",Katarina Witt,Katarina Witt has won the most Olympic medals for figure skating.
The most principle species of plants which requires an ericaceous type of compost can have what effect on its surroundings because of the way it takes up cations?,Peat moss can also acidify its surroundings by taking up cations,"Peat moss, which is the most principle species of plants requiring an ericaceous type of compost, can also acidify its surroundings by taking up cations."
Who recorded the song written by Johnny Russell,Buck Owens,Buck Owens recorded the song written by Johnny Russell.
Which of the following has released ten solo albums: Kristin Hersh or Mike Patton?,Kristin Hersh,"Kristin Hersh has released ten solo albums, making her a prolific artist in her own right."
What did  the man who  led Sweden to military supremacy during the Thirty Years' War found in 1623?,court in Åbo,The man who led Sweden to military supremacy during the Thirty Years' War founded a court in Åbo in 1623.
When was the host of the Los Angeles talk radio program Religion on the Line born?,2-Aug-48,The host of the Los Angeles talk radio program Religion on the Line was born on 2-Aug-48.
Was Lee Grant or Colin Campbell born first?,James Colin Campbell,James Colin Campbell was born first.
Which magazine ranked the Indian Carnatic vocalist who collaborated with classical pianist Anil Srinivasan among 35 Game Changers under 35?,India Today,India Today magazine ranked the Indian Carnatic vocalist who collaborated with classical pianist Anil Srinivasan among 35 Game Changers under 35.
Are David Schwimmer and James Wan in the same industry?,yes,"Yes, David Schwimmer and James Wan are both in the same industry."
Actor David Lee Stenstrom played the character Waldo the inventor in a TV show that ran on Nickelodeon during what yeras?,1984 to 1985,David Lee Stenstrom played the character Waldo the inventor in a TV show that ran on Nickelodeon from 1984 to 1985.
Atlanta Zero Mile Post is located within a historic area opened in what year ?,1969,The Atlanta Zero Mile Post is located within a historic area that was opened in 1969.
In what city does the most successful American and international five-and-dime business have a historic building?,"Watertown, New York","The most successful American and international five-and-dime business has a historic building in Watertown, New York."
Who has a better career-high singles ranking Daniel Vacek or Fabio Fognini ?,Fabio Fognini,Fabio Fognini has a better career-high singles ranking than Daniel Vacek.
"Between Gareth Evans and Pierre Chenal, who's had a more diver career?",Gareth Huw Evans,Gareth Huw Evans has had a more diverse career between Gareth Evans and Pierre Chenal.
"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory,Morning glory is the plant genus that is part of a family with a longer name.
Which jobs do Jeff Tremaine and Keanu Reeves share?,"director, producer",Jeff Tremaine and Keanu Reeves share the jobs of director and producer.
