Questions,Answers
"Who is younger, Dan Bejar and Makoto Koshinaka?","Makoto, born July 15, 1980"
Zamalek Sporting Club Centennial was a  friendly match against professional football club that plays in what?,La Liga
The eastern coast of Ivan Zammit's birth city is located along what body of water? ,Grand Harbour
"Which son of Rick Barry was born first, Brent Robert Barry or Drew William Barry?",Brent Robert Barry
Have Marc Rosset and Max Mirnyi both been professional tennis players?,yes
What year was the inventor of Rejuvelac born?,1909
"Which amusement park at Coney Island, Brooklyn, New York City,  without being the grandest, was the island's longest lasting?",Steeplechase Park
What is another movie the director of Marvel Cinematic Universe's fifteenth film is known for?,"""Nanny McPhee"""
The brother of Ferdinand Alfred Friedrich Jodl served as what position in World War II?,Chief of the Operations Staff of the Armed Forces High Command
"Which film stars more animals, The Jungle Book or The Lone Ranger?",The Jungle Book
Where did the host of the 2014 edition of the MTV Africa Music Awards begin their career?,"""I'm Gonna Git You Sucka"""
Nevada's second busiest commercial airport was named after which career United States Army officer?,Jesse L. Reno
Taylor Momsen and Craig Mabbitt from Escape the Fate have what in common?,lead singer
"Widewuto, a legendary king of the pagan Prussians, was believed to have existed before which army launched crusade against the Prussian peoples?",the Teutonic Knights
What former Los Angeles Lakers majority owner is the father of Jeanie Marie Buss?,Gerald Hatten Buss
"Which genus's family comes first alphabetically, Crepis or Isatis?",Crepis
What year was the recipient of the 2016 Best Footballer in Asia born?,1986
August R. Lindt served as chairman of a UN program from 1956 to 1960 that won how many noble prizes ?,two Nobel Peace Prizes
"What MLB pitcher nicknamed ""Gander"" was written about in ""the Stratton Story"">?",Monty Franklin Pierce Stratton
What was the company that was co-owned by the person who Abbe error was named after?,Carl Zeiss AG
What railroad in which Challengers were most common was completed in 1915?,Clinchfield Railroad
What stadium does the team who has Kent Baer as the defensive coordinator play its home games?,Sam Boyd Stadium
Were both Alvin Lee and Chad Gray lead vocalists for bands?,yes
Which U.S. State contains tropical wetlands and Diamondback Airboats?,Florida
Who was the narrator of the 26-episode series which featured the British national museum organization with branches at five locations in England?,Michael Redgrave
"What is the birth date of the person Richard Callaghan coached to Olympic, World, and national titles?",10-Jun-82
What is the strongest focus of the Adelaide Fim Festical put on by CEO Amanda Duthie?,Australian
"Which band included more previously-known figures when it was formed, !!! or Puddle of Mudd?",!!!
Who is the writer for an American teen sitcom created by Kim Bass for Nickelodeon?,Wayne Conley
"What Argentinian retired defensive midfielder, and current manager of C.D. Guadalajara, was traded to Parma alongside Sérgio Conçeicão at the end of the 1999-2000 season? ",Matías Jesús Almeyda
"What actor starred in ""Word of Honor"" and ""Miami Vice""? ",Donald Wayne Johnson
"jean Sagbo, considered ""Russia's Obama"" is considered to belong to what ethnic group based on his having African heritage or dark skin?",Afro-Russian
"O'Halloran Hill in South Australia has a suburb of what town, with a population of over 12000 people?",Hallett Cove
"Who has lived longer in the USA, Ulli Lommel or Benjamin Stoloff?",Stoloff
Fash Mosque is 4.5 km away from which mosque originally built by Muhammad?,Al-Masjid an-Nabawī
When was the federal US law made that was responsible for shutting down Braniff Airways?,1978
What was the name of the person that was interviewed and later written about by John G. Neihardt?,Black Elk
Shaqtin' a Fool has included which television personality who worked for 8 yearst at ESPN?,Matthew Ward Winer
Which was published first Polarity or The Farming Game?,The Farming Game
Which team was a Dutch former professional footballer sacked from in 2009 after the team underperformed in a string of games for the qualification for the Champions League? ,FC Bayern Munich
The Julian P. Kanter Political Commercial Archive has been designated an official project by an initiative to preserve and protect what?,"historic buildings, arts, and published works"
Neil B. Shulman was the associate producer of what 1991 American romantic comedy film directed by Michael Caton-Jones?,Doc Hollywood
"Which company has more divisions within it, WPX Energy or Hewlett Packard Enterprise?",Hewlett Packard Enterprise Company
"which is larger, Hunchun or Shijiazhuang?",Shijiazhuang
What is the name of the umcoming horror film adaptation starring Melanie Griffiths daughter?,Suspiria
Where was the music festival Billy McFarland was charged with wire fraud for supposed to take place?,Great Exuma
"Which artist was Italian, Sergio Leone or Jon Paul Puno?",Sergio Leone
What type of art does The Consul and Arlecchino have in common?,music
The player who defeated Johnny Majors for the Heisman Trophy in 1956 was born in what year?,1935
Which actor that has performed as Inspector Javert in a Les Misérables production Has won the Laurence Olivier Award for Best Actor in a musical three times?,Philip Quast
What year did Lindsey Broad star in the movie with Russell Brand and Jonah Hill?,2010
"Archie Norman will succeed Robert Swannell as chairman of what British multinational retailer that is headquartered in the city of Westminster, London?",Marks and Spencer plc
"Where is the company, which designed the Glomar Challenger, based?","Vernier, Switzerland"
"Charles Hurt is currently the opinion editor of ""The Washington Times"", Fox News contributor, Breitbart News contributor, and editor of which politically conservative American news aggregation website?",Drudge Report
"What American politician from Tennessee born December 13, 1943 is related to former United States Congressman Harold Ford Jr. as well as former Congressman Harold Ford Sr.",Emmitt H. Ford
"When was the band who composited ""Discipline"" formed?",1968
What group of people are described as semi-nomadic and speak the Semitic language ? ,Semitic people
Glenn Quagmire is voiced by the creator of what 2012 film?,Ted
Are both The Day the Universe Changed and Lennon or McCartney American documentary short films?,no
Which European based oil giant bought the commodities trading arm of J.P. Morgan in 2014?,Mercuria Energy Group Ltd
What schools of thought are drawn from in the academic discipline of Hafiz Rashid Khan?,postmodern schools of thought
What Kenya-based company owns the Tusker beer brand?,East African Breweries Limited
Are 13 Engines and Oingo Boingo both new wave bands?,no
When was Erik Watts' father born?,5-May-39
What aspect of the board game Diplomacy is not found in the board game Uncle Wiggily?,negotiation phases
What muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan?,Marvin John Heemeyer
When did the HBO series that Alice Wetterlund star in premier?,6-Apr-14
"""She's a Woman"" is a song on the B-side of a single whose A-side has one of the first uses of what in popular music?",guitar feedback
Are both Microcachrys and Protea endemic to the same continent ?,no
What Metropolitan City was Massimo Giordano born in?,Naples
What country of origin does Stan Williams and Adelaide Oval have in common?,Australian
Cagliostro-Walzer op.370 was composed by a man born in what year?,1825
"In which album was American rapper Kendrick Lamar's first number-one single on the US ""Billboard"" Hot 100 included?","""1989"" (2014)"
Witkins Township is served what district that is represented by Tim Murphy?,Pennsylvania's 18th congressional district
"What was the book that was centered around a rule that is expressed algebraically, or quantities ""a"" and ""b"" with ""a"" > ""b"" > 0?","The Story of Phi, the World's Most Astonishing Number"
The vynil collectible Vinylmation are all shaped with the body of a cartoon character created by who ?,Walt Disney and Ub Iwerks
"Deckers Creek is a tributary, and its beginning in the west is named after?",Richard Arthur
What country does Haringey Heartlands and The Mall Wood Green have in common?,London
What is the central institution of Cheyenne Indian tribal governance that Ehyophsta was not a member of?,the Council of Forty-four
"Which movie was released first, Return to Oz or Midnight Madness?",Midnight Madness
The bomber who carried out a Provisional Irish Republican Army (IRA) assassination attempt against the top tier of the British government in 1984 was born in what year?,1951
What famous New York burglar and freelance writer was involved in a robbery for which a book was written about?,"Robert ""Bobby"" Germaine"
APB and Sleeper are both from britain?,yes
The 2015 MTV Video Music Awards pre-show premiered the music video for a love ballad with a prominent what?,dream pop influence
The Jodrell Bank Observatory was established in 1945 by what English physicist and radio astronomer?,Sir Alfred Charles Bernard Lovell
What was the benefit of reintroducing piston power and replacing the most popular turboprop engine in history?,much better fuel economy
"Alex Jesaulenko, former Australian rules footballer and coach won the award The Goal of the Year. In what year did he win that award?",2001
Which film came first The Strongest Man in the World or Candleshoe?,The Strongest Man in the World
"Steve Denton and Albert Costa are both tennis players, which one began playing at the age if five?",Costa
"What product is being built at a 107,000 acre industrial park for Tesla Motors?",lithium-ion battery
Are Eryngium and Arnebia in the same kingdom of life forms?,yes
Pyne & Marles is co-hosted by Richard Marles and an Australian politician who has been the Liberal member for the House of Representatives seat of Sturt since what year's election?,1993
Kiki Preston was the alleged mother of a child born out of wedlock with a prince born in which year ?,1902
"Alexandra Park in Greater Manchester, England was created in response to an event that ook place during what years?",1861-65
Has Lasse Hallström gotten more Academy Award nominations than Dionciel Armstrong?,yes
Lafe Pence was a member of which lower chamber of the United States congress?,United States House of Representatives
Ben Folds and Nic Offer are both considered to be which type of artists?,musician
Who led the Texian Army in the battle in whichJoseph L. Bennett served as lieutenant colonel?,General Sam Houston
Which movie came out first Muppet Treasure Island or Million Dollar Arm ?,Muppet Treasure Island
The W. H. Shipman House is in what Hawaii county?,Hawaii County
The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force"""
"In what year was the composer of ""Anthem"" born?",1943
Romans stars which Tamil and Telugu actress?,Nivetha Thomas
Stabat Mater was written by a composer of what nationality?,Polish
Who is the US Olympian and Christian evangelist did the 2010 non-fiction book by Laura Hillenbrand focus on?  ,"Louis ""Louie"" Zamperini"
Who directed the film based on the rock opera 5:15 appeared in?,Franc Roddam
What prize was won in 1963by this physicist who was part of the Princeton Three?,Nobel Prize
Tao Okamoto made her debut as the lead in the 2013 film featuring the character from what Comic company's line?,Marvel Comics
What is the prefix given to the end of the name to avoid confusion for the winner of the 1996 Record of the Year Grammy?,II
Are Portuguese Podengo and Russo-European Laika the same breed of dog?,no
Which field of studies did Semyon Aranovich Gershgorin and Anatoly Maltsev work in?,He was a mathematician
"Southern California Logistics Airport is how many miles northwest of Victorville, California?",8 miles
Orchard Gateway connects what shopping mall in singapore with 313 @ Somerset?,Orchard Central
"Which European Space Agency astronaut flew more Space Shuttle missions, Hans Schlegel of Germany or first Belgian in space Dirk Frimout?",Hans Wilhelm Schlegel
Who directed the 1971 film in which Pat Ashton starred in?,Harry Booth
Where was the comedian from And There's More born? ,"Rochdale, North West England"
The Swallow Bluff Island Mounds is a Mississippian culture archaeological site that is located in this river which was once known by what name?,the Cherokee River
"Which director was also a film editor, Burton L. King or Maheen Zia?",Maheen Zia
Phil Edwards is an American surfer from California whose photo appeared in the cover of what magazine which has over 3 million subscribers and is read by 23 million people each week?,Sports Illustrated
In what year was the son of Max Weinreich born?,1926
What lake in Australia is named after a Scottish Knight?,Lake Wallace
"Who has written more #1 songs, Chris DeStefano or Brett Eldredge?","Christopher Michael ""Chris"" DeStefano"
Moss Side railway station is on Blackpool South railway station which is how far from Waterloo Road tram stop?,about 500 m
Arena Bowl XII included what team coached by current head coach of the Washington Redskins?,Orlando Predators
Who played Amelia Vanek in the film adaptation of Monster?,"Esther ""Essie"" Davis"
Who was a student of Rolls Gracie and ran the Gracie Humaitá school in Rio de Janeiro?,Royler Gracie
On which river is the shipyard established by Andrew Sprowle ?,the Elizabeth River
The southern terminus of State Route 102 is located in a town on the southwestern side of an island know to locals as what?,the backside
Are Bangkok Girl and Home both horror movies?,no
"Palm Springs lies in Palm Beach County, the third most populated county in its state. Which major U.S. city is it near?",Miami
"When was the improvisational troupe, which trained Amy Sedaris, Paul Dinello, and Stephen Colber, founded?",1959
"Jal Pari, which translated in another language refers to which legendary creature which are sometimes associated with perilous events such as floods, storm,s shipwrecks, and drownings?",A mermaid
Were both Roger Donaldson and André Cayatte french filmmakers?,no
The Russian-British physicist who shared the Nobel Prize in Physics in 2010 has established a reserach center dedicated to continuing the work with graphene in what country?,Singapore
 What annual event occurs on a property co-founded by an American who was the best-selling recording artist of the 20th century?,San Diego County Fair
What do Victor Salva and Emilio Fernández have in common?,director and screenwriter.
What is the name of the Minahasa journalist and novelist who was active in the colonies incorporated into the Dutch government in 1800?,Frederick D. J. Pangemanann
Taylor Nichols was part of the ensemble cast of which 1995 American black comedy and psychological horror film?,Headless Body in Topless Bar
"Which Persian historical figure was an astronomer, Al-Karaji or Ahmad Nahavandi? ",Ahmad
"What sport does America's first openly gay, actively playing, professional team sport athlete play?",soccer
What is the name of the person that named Moltke Nunatak after the Chief of the German General staff that served from 1906 to 1914?,Second German Antarctic Expedition of 1911-12 under Wilhelm Filchner.
Professor A. Selvanathan is a professor at a university that is public or private ?,public
Jimmy Garcia lost by unanimous decision to a professional boxer that challenged for what title in 1995?,WBO lightweight title
What fellow Turkish footballer did Darko Kovačević form an offensive partnership with during his tenure at Real Sociedad?,Nihat Kahveci
"What characteristic meaning it's transferable between species, does monkeypox and cowpox virus both share?",zoonotic
"Are both Kaiping and Pingxiang, Guangxi located in Guandong Province?",no
"Which city has a higher population, Shanghai or Hengyang?",Shanghai
What year was the bank famously opposed by Brendan Bracken for co-operation with Adolf Hitler originally established?,1694
"The saint in ""A Time for Miracles"" was born on what date?","August 28, 1774"
The Pappas house is the largest of the Usonian Automatics built after a house located in what village?,Amberley Village
How many daily flights are made by the Thai long-haul low-fare airline (part of the AirAsia Group) headquartered and based at Don Mueang International Airport?,21
"Which airport is further north, Valley International Airport or Aberdeen Regional Airport?",Aberdeen Regional Airport
 The A5117 runs between Shotwick and a village with a 2011 population of what?,"4,972"
"Who born earlier, Lewis Terman or  G. Stanley Hall?",G. Stanley Hall
Dr. Saleha Mahmood Abedin's daughter was born in what year ?,1976
"The world's greatest Super-Heroes anthology showcased one of four superheroes known for speaking the phrase ""SHAZAM"", what was their name?",Captain Marvel
Are the films Gasland from 2010 and Pumping Iron from 1977 both documentaries?,yes
"Which game was created first, About Time or Java?",Java
Which animal races annually for a national title as part of a post-season NCAA Division I Football Bowl Subdivision college football game?\,Dachshunds
When was the publisher of Traveller Supplement 4: Citizens of the Imperium in business?,from 1973 to 1996
Kurt Cobain: Montage of Heck documents the life of Cobain until his suicide in what state?,Washington
How many seats does the jet airliner with which Boeing 777X was intended to compete have?,280 to 366
"Which magazine began publication first, Reunions magazine or Money?",Money
"Faruk Halibegovic was born in what city that is the capital and largest city of Bosnia and Herzegovina with a population of 275,524?",Sarajevo
Love Thy Neighbor starred an AMerican actor who was best known for his role as Jack Tripper on what sitcom?,Three's Company
What company did Rex Maughan aquire?,Aloe Vera of America
"""Twenty Two"" is an episode of the series ""The Twilight Zone."" adapted from an anecdote by a publisher who made appearance in what panel game show?",What's My Line
What was the former name of the company which operates Hunterston Terminal?,Peel Holdings
What is another name for the people that the Torra di Tizzà was created to protect against?,Ottoman corsairs
Greetings! We're The Monitors was the debut album by the band who had what soul and R&B singer as their lead?,Richard Allen Street
Which American politician was the 61st Governor of Maryland and had help on his first campaign in 1998 from Richard Burton?,Martin O'Malley
Was the Metropolitan Life Insurance Company Tower [Met Life Tower] or the 15 Hudson Yards building designed by the firm of Napoleon LeBrun & Sons?,The Metropolitan Life Insurance Company Tower
"What rapper on the song ""Wij zijn Ajax"" plays for the Turkish club Beşiktaş?",Ryan Babel
Which company had a ten year contract with the anti-hero from Escape From New York played by Kurt Russel? ,contract with The Walt Disney Company
Which feature does the G-shock watch have that is tested by a leakage test?,water resistance
When was the medieval fortress abandoned that is to the north of Yellowcraig?,end of the 17th century
Persona Non Grata includes interviews by the political leader of what nationality?,Palestinian
The World War I Air Force pilot who has been credited with 80 air combat victories has been the subject of what forms of media?,"books, films and other media"
"Which university has more schools, Ateneo de Davao University or University of Rochester?",Ateneo de Davao University
Baltic Neopaganism was a religious movement that included which poet and humanist?,Vilius Storostas-Vydūnas
What age was Georgia Middleman when she started singing in the seventh-most populated city in the United States?,ten
"Which city is at coastal county-level, Wenling or Ruili?",Wenling
On what date will the election for which Krishanti Vignarajah is a declared Democratic candidate be held?,6-Nov-18
On what network did the series that Bradley Thompson started working on in 2014 premiere?,FX
"In what capacity did the author of the book,  An Inconvenient Truth,  serve in the United States government ? ",Vice President
Falling Stars is a role-playing game published by the company based out of what country?,Lithuania
What year was the 2nd wife of the leader of the hussites born?,1430
Which university's teams with a mascot called Stomper began competing in the Northern Sun Intercollegiate Conference in 2008?,Minnesota State Mavericks
Was Atom Egoyans biggest commercial success on stage or on film?,erotic thriller film
"What award has the composer of ""Shady Lady"" received five times?","""World's Best Selling Russian Artist"""
Where did the character  Xavin  changed into a black female just for the sake first appeared ,"""Runaways""."
Was the film Splash released before the film Tangled? ,yes
"Which was released first, Kolejka or Ghettopoly?",Ghettopoly
What kind of group does At the Drive-In and Muse have in common?,band
Are Dogo Cubano and the Dutch Shepherd both breeds of dog?,yes
Are Muzzle and Screaming Trees both alternative rock bands?,no
What other series is the actress who plays Malory Archer well known for?,Arrested Development
Who co-starred alongside John Wayne in the 1951 World War II submarine film Operation Pacific?,Ward Bond
whats the famous bavagheet by arun date?,Shukratara
What are the professions of Tom Johnston and Daryl Palumbo?,American musician
What facility is shared by RAAF Base Williamtown and Newcastle Airport in New South Wales?,runway
"What year did the prison where William Penn wrote No Cross, No Crown stop being used as a prison?",1952
"Which show was Andrew ""Andy"" Spade's brother in n the 1990s?","""Saturday Night Live"""
Where did The Cure record their highest charting single?,Hookend Recording Studios
"In what school district is Governor John R. Rogers High School, named after John Rankin Rogers, located?",Puyallup School District of Washington
"Is Baiyin or Xinghua, Jiangsu a county-level city?",Xinghua () is a county-level city
Ho Iat Seng  is a member of a legislative assembly that has how many members ?,33-member
McLaren MP4/11 was driven by what Finnish former professional racing driver,Mika Häkkinen
"Rosi Golan's songs were featured in commercials for a brand of Artsana, that's been working for over 50 years, and is present in how many countries?",more than 120 countries
Which Italian composer was known for his long-flowing melodic lines and was included in the repertoire of Maria Callas?,Vincenzo Salvatore Carmelo Francesco Bellini
Which movie starring Tony Longo is based on Tonka toy line and Hanna-Barbera television series?,Pound Puppies and the Legend of Big Paw
"The music composer of the film Angaaray, Aadesh Shrivastava died from what at age 51?","he turned 51, he died of cancer"
"Which university has more campuses, Dalhousie University or California State Polytechnic University, Pomona?",Dalhousie University
"Which is farther north, Steel Venom or Wicked Twister?",Wicked Twister
Where is the company that created Doravirine ( from?,American
Does Dashboard Confessional have more members than World Party?,yes
"Wangaratta Wahine, an album featuring the work of an Australian Living Treasure, was recorded by what band?",The Captain Matchbox Whoopee Band
Did Big Pig or Blur have more members?,Big Pig
What movie character was based on the martial arts actor known as JCVD?,Mortal Kombat
When was the football club founded in which Walter Otto Davisplayed at centre forward?,1885
The inventor of the Maxim Gun issued 1.9 million shares to what man?,Nathan Rothschild
Which contest in California pays homage to an American novelist that won the Novel Prize in Literature in 1954?,The Bad Hemingway Contest
Which airport Albany International Airport and Dane County Regional Airport is nearer its local town ?,Dane County Regional Airport
what are the low sea stacks in the Shetland Islands called?,Ramna Stacks
Where are Abbey Clancy and Peter Crouch from?,England
" The original serialized story of the Bride of Re-Animator film was titled ""Herbert West-Reanimator"" and written by an American author who achieved posthumous fame through his influential works of what?",horror fiction
Were Dee Dee Ramone and Ben Weasel ever in the same band?,no
Is Central Illinois Regional Airport of Jacksonville International Airport further east?,Jacksonville International Airport
The nightclub Playboy Club was located at this hotel and casino located near the Las Vegas Strip that has how many rooms?,703
whodesigned the first theoretical mechanism for the detonation of an atomic bomb and was part of the group of scientists who first discovered nuclear fission?,Otto Robert Frisch
"how many films has the director of ""Girl 6"" produced since 1983?",over 35 films
"In modern history of Syria this kingdom lasted for only four months, this kingdom surrendered to who?",French
"What American actress starred in the 1996 television film ""Bastard Out of Carolina"" directed by Anjelica Huston?",Jena Malone
"What profession does Alex Beard and Tony Hall, Baron Hall of Birkenhead have in common?",director
What was the population of the town as of 2000 where the historic tugboat Catawissa is located?,"8,515"
Where does the founder of The International Grenfell Association act as a missionary to?,Newfoundland and Labrador
What country is the Selun located in?,Switzerland
Who had a perfect game against The Ignitor's team in 1998?,David Wells
What sort of dog did the same man who cared for the living gift that Martin Bormann gave Hitler have?,dachshund
What profession does Kazuyuki Fujita and Gilbert Yvel have in common?,martial artist
The Robey-Peters Gun-Carrier was built at a commuter village with at population of what at the 2001 census?,"4,530"
"Who is older, Lucy Gichuhi or Bob Day?",Bob Day
What do Lavinia Greenlaw and Nâzım Hikmet have in common?,poet and novelist
What are The Ready Set and Cell?,band
"Are Marilyn Manson and Joe Lynn Turner both American singer, songwriters?",yes
Berthold Louis Ullman died in a country that is approximately how many acres?,110
Tikkun and Moment are both what?,magazine
Grimsby Minster is located in which English Province?,Province of Canterbury
"Which film, The Happiest Millionaire or Mars Needs Moms, was created first?",The Happiest Millionaire
 Umaru Mutallab had a son who tried to detonate materials about the flight that took place on what date?,25-Dec-09
Mexican Indignados Movement is a response to a war also known as?,Mexican War on Drugs
"Who was born more recent.y,Gunnar Nelson or Florence Welch?",Florence Leontine Mary Welch
Step Up 2: The Streets is the sequel to the dance film directed by whom?,Anne Fletcher
"Who was born first, Frank I. Cobb or Joseph Pulitzer?",Joseph J. Pulitzer
"Parafield, South Australia is very near the airport and what campus of the University of South Australia?",Mawson Lakes
Are both Arizona v. United States and Reynolds v. United States Supreme Court cases?,yes
When did the place in Canada where François Beaucourt (1740-1794) was mainly active acquired its present name?,1763
Which historical drama filmed in the Winter Palace of the Russian State Hermitage Museum stars Sergey Dreyden?,Russian Ark
where was the musician and stand up comedian who recorded and released a live performance at London's Bloomsbury Theatre in May 2008 born?,"Northampton, England"
What two casinos border the hotel that hosted WrestleMania IX?,Bellagio and The Mirage
What theatre in St. Martin's Lane often hosts the English National Ballet?,London Coliseum
Meet Market is a 2004 film starring which son of a former prime minister?,Julian McMahon
"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",To be
"How many periods in office were held by the British Prime Minister who led the ""Who? Who?"" ministry?",3
Carlos Hasselbaink is the older brother of the footballer of what nationality?,Dutch
"Who was born first, Andy Warhol or Alexander Butler?",Alexander Butler
What occupation do Henry Moore and John Wesley have in common?,minister
The National symbols of Albania are used in this part of Serbia that are composed of which municipalities?,municipalities of Bujanovac and Preševo
"Robin R. Bottin is known for his collaboration with an American director and producer who won an Academy Award, Golden Globe and BAFTA award for what movie?",The Social Network
When did the person for whom Tubman University was named serve as President of his country?,1944 until his death in 1971
"Which son of Robin Fox MC, is an English theater and film producer",Robert Michael John Fox
Whom was the cofounder of Orange County Choppers and appeared with Paul Teutul Sr on American Chopper?,Paul Teutul Jr.
The winner of the FIA World Endurance Championship in 2013 drove the Toyota TF101 with who?,Mika Salo
What position did the current Leader of Fine Gael hold from 2016 until 2017?,Minister for Social Protection
What is the name of the Kegeyli District in the Turkic language spoken in Karakalpakstan?,Kegeyli rayonı
"Who brewed the first espresso coffee in space, Patrick Baudry or Samantha Cristoforetti?",Samantha Cristoforetti
Which Victorian poet was born in a 15th-century castle home to the Earl of Southesk?,Charlotte Carnegie
The song Justice was used for a WWE event that took place on what day ?,1-May-11
San Marco and Medina are both what type of game?,board
Roy Holder appeared in a 1967 film which was based on a play of the same name written by who?,William Shakespeare
What sport do The Basham Brothers and Doug Basham have in common?,wrestling
In which region is the village after which lager Fucking Hell is named ?,Innviertel
IS Paul Sloane noted for directing more musicals than  Jacques Demy,no
Underwater! is a 1955 adventure film starring an American film actress who was a leading sex symbol in what decades?,1940s and 1950s
Did Yasuzo Masumura and Pitof hail from the same country and professional career?,no
Are both Lukas Rossi and Terry Kath American?,no
Are Mina Loy and Raymond Carver both British writers?,no
Both Tim Conlon and Kehinde Wiley have what type of occupation?,artist
What is the rank of the incumbent that RJ Harris challenged in 2010?,the fourth-ranking Republican leader in the House
Erik Wickberg was the general of an army linked to which religious sect ?,Protestant Christian
What unit of the Air National Guard is located at a base that was home to the 509th Bomb Wing flying the General Dynamics FB-111A?,133d Air Refueling Squadron
Are Dennis Locorriere and Maja Ivarsson both lead singers?,yes
"Who directed the black comedy in 1984 that started the American actress and singer best known for her role as Sally Morrison on ""My Three Sons""?",Bruce R. Cook
What is the name of the process used by a company that is located in New Jersey and invented Hexachrome?,CMYKOG process
What retailer did Albert Heijn start up that eventually merged with the Delhaize Group?,Koninklijke Ahold N.V.
"The Light Princess was inspired by ""what"" literary tale published by Charles Perrault in 1697?",Sleeping Beauty
Jet Airways is the second largest airlien after a low cost airline located in which city ?,Gurgaon
Does Shengzhou have more former names than Linchuan District?,yes
When did the 2005 Ladbrokes.com World Darts Championship begin?,the day after Christmas Day
"In 2001, Hampton Pirates men's basketball defeated a second seed team that was coached by who ?",by Larry Eustachy
"Which battle came first, the Battle of Okinawa or Operation Diadem?",Operation Diadem
"Nicholas Scibetta's hit man brother-in-law, who confessed to being involved in the murder of 19 people, helped prosecutors convict what Gambino family boss?",John Gotti
Baraki Barak District is situated in the western part of a province whose capital is what?,Puli Alam
"What band has been around longer, Mazzy Star of Pendragon?",Pendragon
"Which television network that aired Gameshow Marathon has been owned by the Bell Media division of BCE, Inc since 2000?",CTV
Orlando Maturana had to compete with what other Colombian retired footballer for the national football team's striker position?,Adolfo José Valencia Mosquera
"Which has more species, Lysiloma or Hydrocotyle umbellata?",Lysiloma
Who is the original writer of the 1977 horror film?,Wes Craven
"What software company developed Fade to black and it's 1992 Sequel, Flashback? ",Delphine Software International
"A small regional passenger airline from Killeen, Texas moved its operations from a city owned public airport 6 miles northwest of Downtown Dallas to what airport?",Dallas/Fort Worth International Airport
In 2106 this magnetically confine nuclear fusion device achieved the highest pressure of a gaseous mixture of negatively charged electrons and highly charged ions called what?,Plasma
"What platinum selling track was included on the album ""The Warrior's Code"" with lyrics by Woody Guthrie?",I'm Shipping Up to Boston
How many episodes were there of the TV series where Julianna Margulies had the role of Carol Hathaway ?,331 episodes
When was  Evelyn Waugh famous work first published ,1945
"Kresy, which roughly was a part of the land beyond the so-called Curson Line, was drawn for what reason?","demarcation line between the newly emerging states, the Second Polish Republic, and the Soviet Union"
What city is the women's Vans Triple Crown of Surfing event hosted at?,City and County of Honolulu
 Cliburn railway station was a station situated on This railway that  ran between Clifton Junction near Penrith and Kirkby Stephen via what?,Appleby-in-Westmorland
What is the nationality of the scientist who invented in Tribometer?,Dutch
Which pistol was replaced by a pistol manufactured by Spreewerk?,Luger P08
The Twelfth United States Army Group commander was the first chairman of what?,Joint Chiefs of Staff
Who was the base where the 413th Flight Test Group is stationed named after?,Brig Gen Augustine Warner Robins
The Dukes of Hazzard was inspired by the 1975 film starring whom?,James Mitchum
In what year was the director of the 2016 American-British biographical drama film which stars Rebecca Hall as Christine Chubbuck born?,1983
What was Randy Shughart's rank when he died?,Sergeant First Class
The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,"1,289,500"
"In 135 BC, a second campaign was sent to intervene in a war between Minyue and another ancient kingdom established at the collapse of whom?",the Qin dynasty
What did the screewriter for a 2013 psychological thriller film directed by Denis Villeneuve get a Goya Award nomination for Best Adapted Screenplay at the 27th Goya Awards for? ,"""Invader (Invasor)"""
The series in which Sharon Gless played Debbie Novotny was developed and written by who?,Ron Cowen and Daniel Lipman
Who wrote the lyrics for Linda Eder's Broadway debut?,"Wildhorn, Bricusse and Cuden"
"Which was founded first, Dain Rauscher Wessels or Berenberg Bank?",Dain Rauscher Wessels
What show did the co-creator with Chris Spencer of Wild 'N Out debut on?,All That
"What nationality is the singer who recorded ""Who I Was Born to Be""?",Scottish
"What singer-songwriter performed the country pop sing ""Fifteen""?",Taylor Swift
"Who is from farther west, Kings of Convenience or Belle and Sebastian?",Belle and Sebastian
"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering
"The Government Digital Service is overseen by the Chief Secretary to the Treasury, who is from which party?",Conservative
Who was the creator of the American political satire comedy television series in which Sufe Bradshaw plays an acerbic secretary named Sue?,Armando Iannucci
Which actor in The Lieutenant Wears Skirts is named Samuel?,Tom Ewell
In which European country was Aimé Félix Tschiffely born in?,Switzerland
John Roger Kirkpatrick Scott was a member of the U.S. House of Representatives from a Commonwealth that borders what to the east?,New Jersey
Which former college football quarterback is the nephew Wade Watts?,"Julius Caesar ""J. C."" Watts Jr."
In Person is a 1935 film starring an actress born in what year?,1911
"Flower Alley was bred by the trainer who was killed at what Fayette County, Kentucky airport?",Blue Grass Airport
What space mission is the Rear Admiral astronuat born 1923 known for?,Mercury Seven
Between Parsifal and Saul og David which opera has more acts?,Saul og David
Ashly Burch is known for voicing Aloy in a video game released in what year?,2017
"Domestic Disturbance stars an actor who voiced what character in ""Monsters, Inc.""?",Randall Boggs
